예측날짜,예측시간,TMP,UUU,VVV,VEC,WSD,SKY,PTY,POP,WAV,PCP,REH,SNO,ppfd_pred
20221013,1500,28,-1.7,0.2,96,1.8,4,0,30,0,강수없음,70,적설없음,801.784466385639
20221013,1600,27,-1.6,0.2,98,1.7,4,0,30,0,강수없음,75,적설없음,618.0093383137815
20221013,1700,26,-1.2,0.2,98,1.3,4,0,30,0,강수없음,75,적설없음,437.35663450928485
20221013,1800,25,-0.7,0.5,122,1.0,4,1,60,0,6.0mm,80,적설없음,220.31906524790008
20221013,1900,23,-1.1,0.6,119,1.3,4,0,30,0,강수없음,85,적설없음,0.0
20221013,2000,22,-1.3,0.1,94,1.4,4,0,30,0,강수없음,85,적설없음,0.0
20221013,2100,22,-1.3,-0.6,67,1.6,4,0,30,0,강수없음,85,적설없음,0.0
20221013,2200,22,-1.1,-1.2,45,1.7,4,0,30,0,강수없음,85,적설없음,0.0
20221013,2300,21,-1.2,-1.2,48,1.8,4,0,30,0,강수없음,85,적설없음,0.0
20221014,0,21,-1.5,-0.8,65,1.8,4,0,30,0,강수없음,85,적설없음,0.0
20221014,100,21,-1.7,-0.4,78,1.8,4,0,30,0,강수없음,80,적설없음,0.0
20221014,200,21,-1.7,-0.6,70,1.9,4,0,30,0,강수없음,80,적설없음,0.0
20221014,300,20,-1.8,-0.5,74,1.9,4,0,30,0,강수없음,75,적설없음,0.0
20221014,400,21,-1.8,-0.7,69,2.1,4,0,30,0,강수없음,75,적설없음,0.0
20221014,500,20,-1.8,-0.7,70,2.0,4,0,30,0,강수없음,75,적설없음,0.0
20221014,600,21,-1.9,-0.7,72,2.1,4,0,30,0,강수없음,75,적설없음,0.0
20221014,700,21,-1.9,-0.7,71,2.1,4,0,30,0,강수없음,75,적설없음,0.0
20221014,800,22,-2.8,-0.8,75,3.0,4,0,30,0,강수없음,75,적설없음,263.57609891849233
20221014,900,23,-4.0,-0.6,81,4.1,4,0,30,0,강수없음,75,적설없음,560.6473468863329
20221014,1000,25,-4.7,-0.8,80,4.9,4,0,30,0,강수없음,65,적설없음,1027.9849265986295
20221014,1100,26,-4.8,-0.9,80,5.0,4,0,30,0,강수없음,65,적설없음,1158.7439686188359
20221014,1200,27,-4.7,-1.0,78,4.9,3,0,20,0,강수없음,60,적설없음,1337.6698593748522
20221014,1300,27,-4.8,-1.1,77,5.0,1,0,0,0,강수없음,60,적설없음,1411.1274877169856
20221014,1400,28,-4.7,-1.2,76,4.9,1,0,0,0,강수없음,55,적설없음,1561.6401745993162
20221014,1500,28,-4.4,-1.4,72,4.7,1,0,0,0,강수없음,55,적설없음,1528.3777334097892
20221014,1600,27,-4.0,-1.5,69,4.4,1,0,0,0,강수없음,60,적설없음,1311.340164148405
20221014,1700,26,-2.7,-1.3,64,3.1,1,0,0,0,강수없음,65,적설없음,927.9903889393854
20221014,1800,25,-1.9,-1.1,61,2.3,1,0,0,0,강수없음,70,적설없음,627.7967167041833
20221014,1900,23,-1.7,-0.9,63,2.1,1,0,0,0,강수없음,80,적설없음,260.2464605604675
20221014,2000,22,-2.0,-0.9,66,2.3,1,0,0,0,강수없음,85,적설없음,126.36499427289988
20221014,2100,21,-2.1,-0.4,79,2.3,1,0,0,0,강수없음,85,적설없음,12.237172847457032
20221014,2200,21,-2.0,-0.2,85,2.1,1,0,0,0,강수없음,85,적설없음,0.0
20221014,2300,21,-2.0,-0.5,77,2.2,1,0,0,0,강수없음,85,적설없음,0.0
20221015,0,21,-2.4,-0.4,81,2.5,1,0,0,0,강수없음,85,적설없음,45.499614036983985
20221015,100,20,-2.3,-0.2,85,2.4,1,0,0,0,강수없음,85,적설없음,0.0
20221015,200,20,-2.0,-0.2,85,2.1,1,0,0,0,강수없음,85,적설없음,0.0
20221015,300,20,-2.2,-0.3,81,2.3,1,0,0,0,강수없음,90,적설없음,0.0
20221015,400,20,-2.2,-0.2,85,2.3,1,0,0,0,강수없음,85,적설없음,0.0
20221015,500,20,-2.3,-0.1,88,2.4,1,0,0,0,강수없음,90,적설없음,0.0
20221015,600,20,-2.4,0.0,90,2.5,1,0,0,0,강수없음,90,적설없음,0.0
20221015,700,20,-2.7,0.1,92,2.8,1,0,0,0,강수없음,85,적설없음,0.0
20221015,800,21,-4.1,0.7,100,4.3,1,0,0,0,강수없음,80,적설없음,397.8776707943777
20221015,900,23,-4.6,0.7,98,4.7,1,0,0,0,강수없음,75,적설없음,745.6742820759689
20221015,1000,25,-4.4,1.0,103,4.6,1,0,0,0,강수없음,65,적설없음,1063.3308764353944
20221015,1100,26,-3.8,0.9,103,4.1,1,0,0,0,강수없음,65,적설없음,1094.30259488702
20221015,1200,27,-3.4,0.7,102,3.5,3,0,20,0,강수없음,60,적설없음,1104.8327710481637
20221015,1300,28,-3.5,0.8,102,3.7,3,0,20,0,강수없음,60,적설없음,1252.223033663133
20221015,1400,28,-3.5,0.8,103,3.7,4,0,30,0,강수없음,60,적설없음,1223.809829789448
20221015,1500,29,-3.1,0.9,106,3.3,4,0,30,0,강수없음,60,적설없음,1271.4127688358367
20221015,1600,28,-2.8,0.9,107,3.1,3,0,20,0,강수없음,65,적설없음,1099.4196240429008
20221015,1700,27,-1.9,0.8,112,2.2,1,0,0,0,강수없음,65,적설없음,892.4372250119574
20221015,1800,25,-1.7,0.3,99,1.8,1,0,0,0,강수없음,75,적설없음,491.62452767871446
20221015,1900,23,-1.9,0.2,96,2.0,1,0,0,0,강수없음,80,적설없음,243.615239965704
20221015,2000,22,-2.6,0.3,95,2.7,1,0,0,0,강수없음,80,적설없음,245.90596270360538
20221015,2100,21,-3.0,-0.2,87,3.1,1,0,0,0,강수없음,85,적설없음,145.28693760556467
20221015,2200,21,-1.9,-0.3,81,2.1,1,0,0,0,강수없음,85,적설없음,0.0
20221015,2300,20,-1.1,0.1,93,1.2,1,0,0,0,강수없음,85,적설없음,0.0
20221016,0,20,-1.5,0.3,100,1.6,1,0,0,0,강수없음,85,적설없음,0.0
